Date_reported,Country,WHO_region,New_cases,Cumulative_cases,Cumulative_cases,New_deaths,Cumulative_deaths
09-Jun-24,India,SEAR,,45040036,45040036,,533619
11-Jun-24,India,SEAR,,45040074,45040074,,533619
12-Jun-24,India,SEAR,,45040074,45040074,,533619
13-Jun-24,India,SEAR,,45040074,45040074,,533619
14-Jun-24,India,SEAR,,45040074,45040074,,533619
15-Jun-24,India,SEAR,,45040074,45040074,,533619
16-Jun-24,India,SEAR,,45040074,45040074,,533619
18-Jun-24,India,SEAR,,45040284,45040284,,533621
19-Jun-24,India,SEAR,,45040284,45040284,,533621
20-Jun-24,India,SEAR,,45040284,45040284,,533621
21-Jun-24,India,SEAR,,45040284,45040284,,533621
22-Jun-24,India,SEAR,,45040284,45040284,,533621
23-Jun-24,India,SEAR,,45040284,45040284,,533621
25-Jun-24,India,SEAR,,45040618,45040618,,533622
26-Jun-24,India,SEAR,,45040618,45040618,,533622
27-Jun-24,India,SEAR,,45040618,45040618,,533622
28-Jun-24,India,SEAR,,45040618,45040618,,533622
29-Jun-24,India,SEAR,,45040618,45040618,,533622
30-Jun-24,India,SEAR,,45040618,45040618,,533622
02-Jul-24,India,SEAR,,45040752,45040752,,533622
03-Jul-24,India,SEAR,,45040752,45040752,,533622
04-Jul-24,India,SEAR,,45040752,45040752,,533622
05-Jul-24,India,SEAR,,45040752,45040752,,533622
06-Jul-24,India,SEAR,,45040752,45040752,,533622
07-Jul-24,India,SEAR,,45040752,45040752,,533622
08-Jul-24,India,SEAR,,45040752,45040752,,533622
09-Jul-24,India,SEAR,,45040752,45040752,,533622
10-Jul-24,India,SEAR,,45040752,45040752,,533622
11-Jul-24,India,SEAR,,45040752,45040752,,533622
12-Jul-24,India,SEAR,,45040752,45040752,,533622
13-Jul-24,India,SEAR,,45040752,45040752,,533622
14-Jul-24,India,SEAR,,45040752,45040752,,533622
15-Jul-24,India,SEAR,,45040752,45040752,,533622
16-Jul-24,India,SEAR,,45040752,45040752,,533622
17-Jul-24,India,SEAR,,45040752,45040752,,533622
19-Jul-24,India,SEAR,,45041192,45041192,,533623
20-Jul-24,India,SEAR,,45041192,45041192,,533623
21-Jul-24,India,SEAR,,45041192,45041192,,533623
23-Jul-24,India,SEAR,,45041435,45041435,,533623
24-Jul-24,India,SEAR,,45041435,45041435,,533623
25-Jul-24,India,SEAR,,45041435,45041435,,533623
26-Jul-24,India,SEAR,,45041435,45041435,,533623
27-Jul-24,India,SEAR,,45041435,45041435,,533623
28-Jul-24,India,SEAR,,45041435,45041435,,533623
30-Jul-24,India,SEAR,,45041748,45041748,,533623
31-Jul-24,India,SEAR,,45041748,45041748,,533623
01-Aug-24,India,SEAR,,45041748,45041748,,533623
02-Aug-24,India,SEAR,,45041748,45041748,,533623
