MALARIA SITUATION,,,,,,,,,,,,,,,,,,,,,
"  S.
  NO.",STATEs/UTs.,2020 ,,,,2021 ,,,,2022 ,,,,2023 ,,,,2024 (Provisional),,,
,,BSE,"Malaria
Cases","     Pf
Cases",Deaths,BSE,"Malaria
Cases","     Pf
Cases",Deaths,BSE,"Malaria
Cases","     Pf
Cases",Deaths,BSE,"Malaria
Cases","      Pf
  Cases",Deaths,BSE,"  Malaria
  Cases","      Pf
  Cases",Deaths
   1 ,Andhra Pradesh,5341770 ,2027 ,1767 ,0 ,7336198 ,1315 ,1081 ,0 ,8653048 ,2022 ,1457 ,0 ,10294202 ,5268 ,4437 ,0 ,12370081 ,7994 ,6134 ,0 
   2 ,Arunachal Pradesh,108749 ,33 ,7 ,0 ,109635 ,8 ,2 ,0 ,136563 ,18 ,3 ,0 ,168521 ,11 ,5 ,0 ,166307 ,19 ,2 ,0 
   3 ,Assam,3246745 ,484 ,266 ,2 ,3575791 ,162 ,67 ,0 ,4139536 ,280 ,118 ,0 ,4712599 ,567 ,283 ,0 ,4753140 ,5036 ,1131 ,7 
   4 ,Bihar,99497 ,518 ,272 ,0 ,304635 ,647 ,154 ,0 ,176335 ,578 ,208 ,0 ,225722 ,1257 ,519 ,0 ,228696 ,774 ,214 ,0 
   5 ,Chhattisgarh,4168188 ,36667 ,32120 ,34 ,4486737 ,29733 ,25827 ,38 ,5815212 ,30029 ,25902 ,20 ,6891223 ,31706 ,28167 ,15 ,7806550 ,33023 ,28855 ,8 
   6 ,Goa,166315 ,102 ,32 ,0 ,179401 ,90 ,48 ,0 ,249449 ,587 ,244 ,0 ,319859 ,1346 ,488 ,0 ,406528 ,884 ,286 ,0 
   7 ,Gujarat,13048328 ,4771 ,329 ,1 ,14297050 ,4921 ,465 ,0 ,15192658 ,4785 ,518 ,0 ,17442857 ,4311 ,662 ,1 ,18077398 ,3780 ,533 ,0 
   8 ,Haryana,2286206 ,111 ,6 ,0 ,2903143 ,54 ,1 ,0 ,3323816 ,52 ,1 ,0 ,3708401 ,85 ,5 ,0 ,3765453 ,543 ,31 ,0 
   9 ,Himachal Pradesh,235911 ,34 ,0 ,0 ,160788 ,15 ,3 ,0 ,226943 ,12 ,2 ,0 ,274839 ,23 ,0 ,0 ,278951 ,27 ,2 ,0 
  10 ,Jharkhand,2708477 ,16653 ,11961 ,8 ,4080420 ,14198 ,9689 ,0 ,9778246 ,19167 ,14963 ,4 ,5731625 ,34087 ,28990 ,2 ,6096768 ,42466 ,35095 ,0 
  11 ,Karnataka,6971387 ,1701 ,235 ,1 ,8226194 ,913 ,182 ,2 ,11573428 ,289 ,34 ,0 ,13349842 ,275 ,61 ,2 ,14440929 ,741 ,107 ,1 
  12 ,Kerala,1437627 ,268 ,78 ,1 ,1531555 ,309 ,115 ,1 ,2576921 ,439 ,206 ,0 ,3076673 ,569 ,301 ,7 ,3385685 ,954 ,497 ,5 
